"Label (Grouping)","Coral Gables city, Florida!!Total!!Estimate","Coral Gables city, Florida!!Total!!Margin of Error","Coral Gables city, Florida!!Percent!!Estimate","Coral Gables city, Florida!!Percent!!Margin of Error","Coral Gables city, Florida!!Male!!Estimate","Coral Gables city, Florida!!Male!!Margin of Error","Coral Gables city, Florida!!Percent Male!!Estimate","Coral Gables city, Florida!!Percent Male!!Margin of Error","Coral Gables city, Florida!!Female!!Estimate","Coral Gables city, Florida!!Female!!Margin of Error","Coral Gables city, Florida!!Percent Female!!Estimate","Coral Gables city, Florida!!Percent Female!!Margin of Error"
"Total population","49,802","±99","(X)","(X)","23,049","±898","(X)","(X)","26,753","±905","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","2,827","±525","5.7%","±1.1","1,328","±244","5.8%","±1.1","1,499","±500","5.6%","±1.8"
"        5 to 9 years","2,491","±381","5.0%","±0.8","1,169","±233","5.1%","±1.0","1,322","±333","4.9%","±1.2"
"        10 to 14 years","1,742","±307","3.5%","±0.6","887","±208","3.8%","±0.9","855","±216","3.2%","±0.8"
"        15 to 19 years","6,312","±560","12.7%","±1.1","2,723","±358","11.8%","±1.4","3,589","±415","13.4%","±1.5"
"        20 to 24 years","3,861","±659","7.8%","±1.3","1,480","±289","6.4%","±1.2","2,381","±568","8.9%","±2.0"
"        25 to 29 years","2,412","±609","4.8%","±1.2","1,045","±270","4.5%","±1.1","1,367","±451","5.1%","±1.6"
"        30 to 34 years","2,734","±443","5.5%","±0.9","1,425","±331","6.2%","±1.4","1,309","±258","4.9%","±1.0"
"        35 to 39 years","2,861","±458","5.7%","±0.9","1,313","±303","5.7%","±1.3","1,548","±297","5.8%","±1.1"
"        40 to 44 years","2,459","±360","4.9%","±0.7","1,249","±265","5.4%","±1.1","1,210","±250","4.5%","±0.9"
"        45 to 49 years","3,110","±488","6.2%","±1.0","1,353","±331","5.9%","±1.4","1,757","±292","6.6%","±1.1"
"        50 to 54 years","2,745","±437","5.5%","±0.9","1,559","±312","6.8%","±1.4","1,186","±243","4.4%","±0.9"
"        55 to 59 years","3,958","±558","7.9%","±1.1","2,118","±387","9.2%","±1.6","1,840","±314","6.9%","±1.2"
"        60 to 64 years","2,879","±470","5.8%","±0.9","1,283","±306","5.6%","±1.3","1,596","±274","6.0%","±1.0"
"        65 to 69 years","2,536","±408","5.1%","±0.8","1,190","±222","5.2%","±0.9","1,346","±312","5.0%","±1.2"
"        70 to 74 years","2,302","±370","4.6%","±0.7","1,010","±227","4.4%","±1.0","1,292","±251","4.8%","±0.9"
"        75 to 79 years","1,751","±287","3.5%","±0.6","867","±197","3.8%","±0.8","884","±175","3.3%","±0.7"
"        80 to 84 years","1,163","±234","2.3%","±0.5","499","±144","2.2%","±0.6","664","±164","2.5%","±0.6"
"        85 years and over","1,659","±456","3.3%","±0.9","551","±144","2.4%","±0.6","1,108","±410","4.1%","±1.5"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","4,233","±387","8.5%","±0.8","2,056","±293","8.9%","±1.1","2,177","±388","8.1%","±1.4"
"        15 to 17 years","1,490","±291","3.0%","±0.6","644","±160","2.8%","±0.7","846","±252","3.2%","±0.9"
"        Under 18 years","8,550","±654","17.2%","±1.3","4,028","±394","17.5%","±1.5","4,522","±648","16.9%","±2.2"
"        18 to 24 years","8,683","±733","17.4%","±1.5","3,559","±408","15.4%","±1.7","5,124","±586","19.2%","±2.0"
"        15 to 44 years","20,639","±744","41.4%","±1.5","9,235","±601","40.1%","±2.3","11,404","±735","42.6%","±2.0"
"        16 years and over","42,276","±622","84.9%","±1.3","19,412","±766","84.2%","±1.3","22,864","±814","85.5%","±2.0"
"        18 years and over","41,252","±649","82.8%","±1.3","19,021","±758","82.5%","±1.5","22,231","±795","83.1%","±2.2"
"        21 years and over","35,418","±769","71.1%","±1.6","16,566","±714","71.9%","±2.0","18,852","±815","70.5%","±2.2"
"        60 years and over","12,290","±885","24.7%","±1.8","5,400","±522","23.4%","±2.0","6,890","±609","25.8%","±2.3"
"        62 years and over","11,067","±817","22.2%","±1.6","4,931","±446","21.4%","±1.8","6,136","±588","22.9%","±2.1"
"        65 years and over","9,411","±785","18.9%","±1.6","4,117","±411","17.9%","±1.7","5,294","±569","19.8%","±2.1"
"        75 years and over","4,573","±583","9.2%","±1.2","1,917","±292","8.3%","±1.2","2,656","±459","9.9%","±1.7"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","39.1","±1.9","(X)","(X)","40.5","±1.9","(X)","(X)","38.2","±1.8","(X)","(X)"
"        Sex ratio (males per 100 females)","86.2","±6.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","56.4","±4.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","29.6","±3.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","26.9","±2.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","2.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
