"Label (Grouping)","Coral Gables city, Florida!!Total!!Estimate","Coral Gables city, Florida!!Total!!Margin of Error","Coral Gables city, Florida!!Insured!!Estimate","Coral Gables city, Florida!!Insured!!Margin of Error","Coral Gables city, Florida!!Percent Insured!!Estimate","Coral Gables city, Florida!!Percent Insured!!Margin of Error","Coral Gables city, Florida!!Uninsured!!Estimate","Coral Gables city, Florida!!Uninsured!!Margin of Error","Coral Gables city, Florida!!Percent Uninsured!!Estimate","Coral Gables city, Florida!!Percent Uninsured!!Margin of Error"
"Civilian noninstitutionalized population","50,046","±83","45,235","±806","90.4%","±1.6","4,811","±792","9.6%","±1.6"
"AGE","","","","","","","","","",""
"    Under 18 years","8,523","±611","8,250","±610","96.8%","±1.5","273","±130","3.2%","±1.5"
"        Under 6 years","3,041","±419","2,984","±423","98.1%","±1.7","57","±52","1.9%","±1.7"
"        6 to 17 years","5,482","±541","5,266","±531","96.1%","±2.2","216","±122","3.9%","±2.2"
"    18 to 64 years","32,872","±688","28,673","±909","87.2%","±2.1","4,199","±682","12.8%","±2.1"
"        18 to 24 years","7,318","±611","6,659","±607","91.0%","±2.4","659","±175","9.0%","±2.4"
"        25 to 34 years","5,610","±726","4,752","±734","84.7%","±4.9","858","±269","15.3%","±4.9"
"        35 to 44 years","6,491","±639","5,718","±578","88.1%","±4.5","773","±311","11.9%","±4.5"
"        45 to 54 years","7,027","±586","5,910","±455","84.1%","±5.0","1,117","±406","15.9%","±5.0"
"        55 to 64 years","6,426","±546","5,634","±472","87.7%","±3.8","792","±269","12.3%","±3.8"
"    65 years and older","8,651","±596","8,312","±580","96.1%","±2.1","339","±180","3.9%","±2.1"
"        65 to 74 years","4,839","±537","4,598","±522","95.0%","±2.8","241","±138","5.0%","±2.8"
"        75 years and older","3,812","±464","3,714","±463","97.4%","±2.2","98","±87","2.6%","±2.2"
"19 to 25 years","6,278","±636","5,590","±623","89.0%","±2.9","688","±180","11.0%","±2.9"
"SEX","","","","","","","","","",""
"    Male","24,780","±657","22,334","±747","90.1%","±1.9","2,446","±472","9.9%","±1.9"
"    Female","25,266","±664","22,901","±718","90.6%","±1.8","2,365","±466","9.4%","±1.8"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"    White alone","45,430","±999","41,494","±1,068","91.3%","±1.5","3,936","±697","8.7%","±1.5"
"    Black or African American alone","1,974","±850","1,543","±792","78.2%","±14.7","431","±295","21.8%","±14.7"
"    American Indian and Alaska Native alone","49","±56","49","±56","100.0%","±47.0","0","±31","0.0%","±47.0"
"    Asian alone","1,194","±351","992","±309","83.1%","±10.2","202","±136","16.9%","±10.2"
"    Native Hawaiian and Other Pacific Islander alone","7","±14","7","±14","100.0%","±100.0","0","±31","0.0%","±100.0"
"    Some other race alone","509","±207","334","±122","65.6%","±18.2","175","±144","34.4%","±18.2"
"    Two or more races","883","±274","816","±264","92.4%","±6.2","67","±56","7.6%","±6.2"
"Hispanic or Latino (of any race)","27,875","±1,156","24,683","±1,113","88.5%","±2.3","3,192","±664","11.5%","±2.3"
"White alone, not Hispanic or Latino","18,778","±1,083","17,633","±1,049","93.9%","±1.3","1,145","±259","6.1%","±1.3"
"LIVING ARRANGEMENTS","","","","","","","","","",""
"    In family households","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        In married couple families","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        In other families","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Male householder, no wife present","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Female householder, no husband present","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    In non-family households and other living arrangements","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"NATIVITY AND U.S. CITIZENSHIP STATUS","","","","","","","","","",""
"    Native born","31,008","±1,005","28,862","±1,041","93.1%","±1.6","2,146","±500","6.9%","±1.6"
"    Foreign born","19,038","±995","16,373","±950","86.0%","±2.7","2,665","±542","14.0%","±2.7"
"        Naturalized","13,776","±896","12,303","±828","89.3%","±2.5","1,473","±365","10.7%","±2.5"
"        Not a citizen","5,262","±710","4,070","±638","77.3%","±5.6","1,192","±330","22.7%","±5.6"
"DISABILITY STATUS","","","","","","","","","",""
"    With a disability","3,933","±481","3,736","±462","95.0%","±2.9","197","±118","5.0%","±2.9"
"    No disability","46,113","±483","41,499","±850","90.0%","±1.6","4,614","±751","10.0%","±1.6"
"EDUCATIONAL ATTAINMENT","","","","","","","","","",""
"    Civilian noninstitutionalized population 25 years and over","34,205","±760","30,326","±786","88.7%","±1.9","3,879","±692","11.3%","±1.9"
"        Less than high school graduate","1,555","±327","1,261","±271","81.1%","±7.7","294","±143","18.9%","±7.7"
"        High school graduate (includes equivalency)","4,242","±584","3,100","±441","73.1%","±8.1","1,142","±424","26.9%","±8.1"
"        Some college or associate's degree","7,759","±716","6,441","±600","83.0%","±4.6","1,318","±411","17.0%","±4.6"
"        Bachelor's degree or higher","20,649","±846","19,524","±856","94.6%","±1.4","1,125","±287","5.4%","±1.4"
"EMPLOYMENT STATUS","","","","","","","","","",""
"    Civilian noninstitutionalized population 18 years and over","41,523","±624","36,985","±818","89.1%","±1.7","4,538","±726","10.9%","±1.7"
"        In labor force","26,043","±755","22,759","±785","87.4%","±2.1","3,284","±568","12.6%","±2.1"
"            Employed","24,552","±754","21,993","±769","89.6%","±2.0","2,559","±514","10.4%","±2.0"
"            Unemployed","1,491","±310","766","±170","51.4%","±10.2","725","±252","48.6%","±10.2"
"        Not in labor force","15,480","±718","14,226","±642","91.9%","±2.1","1,254","±340","8.1%","±2.1"
"WORK EXPERIENCE","","","","","","","","","",""
"    Civilian noninstitutionalized population 18 to 64 years","32,872","±688","28,673","±909","87.2%","±2.1","4,199","±682","12.8%","±2.1"
"        Worked full-time, year round in the past 12 months","16,902","±826","15,091","±773","89.3%","±2.5","1,811","±449","10.7%","±2.5"
"        Worked less than full-time, year round in the past 12 months","8,545","±720","7,381","±691","86.4%","±3.3","1,164","±294","13.6%","±3.3"
"        Did not work","7,425","±530","6,201","±473","83.5%","±3.8","1,224","±318","16.5%","±3.8"
"HOUSEHOLD INCOME (IN 2015 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","",""
"    Total household population","45,457","±392","41,041","±833","90.3%","±1.7","4,416","±766","9.7%","±1.7"
"        Under $25,000","4,547","±707","3,449","±530","75.9%","±7.2","1,098","±414","24.1%","±7.2"
"        $25,000 to $49,999","5,365","±802","4,070","±674","75.9%","±4.8","1,295","±312","24.1%","±4.8"
"        $50,000 to $74,999","4,327","±854","3,846","±708","88.9%","±4.9","481","±257","11.1%","±4.9"
"        $75,000 to $99,999","4,133","±721","3,685","±654","89.2%","±5.2","448","±235","10.8%","±5.2"
"        $100,000 and over","27,085","±1,424","25,991","±1,330","96.0%","±1.3","1,094","±363","4.0%","±1.3"
"RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Civilian noninstitutionalized population for whom poverty status is determined","45,514","±387","41,030","±840","90.1%","±1.7","4,484","±785","9.9%","±1.7"
"        Below 138 percent of the poverty threshold","4,571","±639","3,351","±519","73.3%","±6.6","1,220","±368","26.7%","±6.6"
"        138 to 199 percent of the poverty threshold","3,370","±705","2,430","±500","72.1%","±9.4","940","±421","27.9%","±9.4"
"        200 to 399 percent of the poverty threshold","7,159","±1,000","6,078","±843","84.9%","±4.5","1,081","±381","15.1%","±4.5"
"        At or above 400 percent of the poverty threshold","30,414","±1,418","29,171","±1,375","95.9%","±1.3","1,243","±407","4.1%","±1.3"
